package	source	bytes	note
gauge@3.0.2	ok:npmmirror	15572	
get-windows@9.3.0	ok:npmmirror	66644	
glob@10.5.0	cached	74227	
glob@10.5.0	ok:npmmirror	74227	
has-unicode@2.0.1	ok:npmmirror	1965	
ignore@7.0.6	cached	17522	
ignore@7.0.6	ok:npmmirror	17522	
indent-string@4.0.0	ok:npmmirror	2065	
ink@7.1.1	ok:npmmirror	129722	
is-lambda@1.0.1	ok:npmmirror	1843	
jackspeak@3.4.3	ok:npmmirror	61399	
js-tokens@10.0.0	cached	4360	
js-tokens@10.0.0	ok:npmmirror	4360	
lightningcss-android-arm64@1.32.0	ok:npmmirror	3623980	
lightningcss-darwin-arm64@1.32.0	ok:npmmirror	3452138	
lightningcss-darwin-x64@1.32.0	ok:npmmirror	3860279	
lightningcss-freebsd-x64@1.32.0	ok:npmmirror	3856640	
lightningcss-linux-arm-gnueabihf@1.32.0	ok:npmmirror	3531290	
lightningcss-linux-arm64-gnu@1.32.0	ok:npmmirror	3584504	
lightningcss-linux-arm64-musl@1.32.0	ok:npmmirror	3583220	
lightningcss-linux-x64-gnu@1.32.0	ok:npmmirror	3848191	
lightningcss-linux-x64-musl@1.32.0	ok:npmmirror	3846393	
lightningcss-win32-arm64-msvc@1.32.0	ok:npmmirror	3421578	
lru-cache@10.4.3	cached	181128	
lru-cache@10.4.3	cached	181128	
lru-cache@10.4.3	ok:npmmirror	181128	
make-dir@3.1.0	ok:npmmirror	3793	
make-fetch-happen@13.0.1	ok:npmmirror	16221	
mermaid@11.16.1	ok:npmmirror	17619777	
minipass-collect@2.0.1	ok:npmmirror	2094	
minipass-fetch@3.0.5	ok:npmmirror	13611	
minipass-flush@1.0.7	ok:npmmirror	2191	
minipass-pipeline@1.2.4	ok:npmmirror	3001	
minipass-sized@1.0.3	ok:npmmirror	30780	
minipass@3.3.6	cached	15335	
minipass@3.3.6	ok:npmmirror	15335	
minipass@3.3.6	ok:npmmirror	15335	
minipass@3.3.6	ok:npmmirror	15335	
minizlib@2.1.2	ok:npmmirror	6154	
motion-dom@12.42.2	ok:npmmirror	835274	
nanoid@6.0.0	ok:npmmirror	5179	
nanostores@1.4.2	ok:npmmirror	13864	
negotiator@0.6.4	ok:npmmirror	6725	
node-addon-api@8.9.0	ok:npmmirror	61748	
node-fetch@2.7.0	ok:npmmirror	44644	
node-gyp@10.3.1	ok:npmmirror	456579	
node-releases@2.0.56	ok:npmmirror	6080	
nopt@5.0.0	ok:npmmirror	9343	
nopt@7.2.1	ok:npmmirror	9355	
npmlog@5.0.1	ok:npmmirror	5901	
p-map@4.0.0	ok:npmmirror	3443	
package-json-from-dist@1.0.1	ok:npmmirror	5750	
package-manager-detector@1.7.0	ok:npmmirror	7790	
path-scurry@1.11.1	ok:npmmirror	101719	
playwright-core@1.62.1	ok:npmmirror	3070300	
playwright@1.62.1	ok:npmmirror	895775	
plist@3.1.1	ok:npmmirror	223793	
postcss@8.5.23	cached	51391	
postcss@8.5.23	ok:npmmirror	51391	
prettier@3.9.5	ok:npmmirror	2799565	
proc-log@4.2.0	cached	3991	
proc-log@4.2.0	ok:npmmirror	3991	
react-arborist@3.13.2	ok:npmmirror	95597	
react-colorful@5.8.0	ok:npmmirror	104908	
react-router@8.3.0	ok:npmmirror	610211	
rimraf@3.0.2	ok:npmmirror	6480	
rolldown@1.2.1	ok:npmmirror	189418	
sanitize-html@2.17.7	ok:npmmirror	22475	
shiki@4.3.1	ok:npmmirror	192056	
slice-ansi@9.0.0	ok:npmmirror	7503	
ssri@10.0.6	ok:npmmirror	11546	
string-width@5.1.2	ok:npmmirror	2557	
string-width@8.2.2	ok:npmmirror	4309	
tldts-core@7.4.9	ok:npmmirror	84042	
tldts@7.4.9	ok:npmmirror	676221	
tr46@0.0.3	ok:npmmirror	64681	
tsx@4.23.1	ok:npmmirror	184994	
tw-shimmer@0.4.12	ok:npmmirror	3438	
type-fest@5.8.0	ok:npmmirror	148161	
typescript-eslint@8.64.0	ok:npmmirror	7376	
unique-filename@3.0.0	ok:npmmirror	1800	
unique-slug@4.0.0	ok:npmmirror	1508	
update-browserslist-db@1.3.3	ok:npmmirror	7349	
webidl-conversions@3.0.1	ok:npmmirror	4727	
whatwg-url@5.0.0	ok:npmmirror	11073	
which@4.0.0	ok:npmmirror	3322	
wide-align@1.1.5	ok:npmmirror	1994	
wrap-ansi@10.0.0	ok:npmmirror	5840	
wrap-ansi@8.1.0	ok:npmmirror	4444	
ws@8.21.1	ok:npmmirror	34995	
